workload,utilisation_pct_of_flat_capacity,pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
flat,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,167.7,10,2,6.47,13,27,35,38,17245,31005,31254,31292,17,31,49,76,187.0,187.0,3,5,11,0
flat,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,167.8,5,2,6.64,13,27,37,38,17229,30990,31240,31280,17,29,39,41,187.0,187.0,3,4,5,0
flat,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,225.5,10,3,5.84,13,35,62,76,13221,23045,23219,23254,16,40,67,78,262.0,262.0,2,7,11,0
flat,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,225.8,11,3,5.30,13,35,54,68,13204,23023,23202,23239,16,39,58,69,262.0,262.0,2,6,15,0
flat,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,279.7,11,4,4.94,13,52,92,108,10955,18585,18723,18755,16,53,92,111,337.0,337.0,2,10,12,0
flat,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,279.6,8,4,4.29,14,50,83,96,10962,18594,18736,18767,16,52,84,99,337.0,337.0,2,9,11,0
tail,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,165.4,12,3,4.56,14,520,520,732,17213,30989,31228,31712,17,509,520,732,187.0,187.0,3,17,21,0
tail,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,165.4,9,3,5.50,14,520,838,885,17228,31007,31244,31728,17,516,841,889,187.0,187.0,3,32,36,0
tail,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,221.0,10,4,6.92,14,520,570,700,13194,23039,23221,23725,16,512,562,701,262.0,262.0,2,37,39,0
tail,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,215.5,12,4,6.65,14,536,1207,1203,13177,23164,24268,24341,16,524,1144,1207,262.0,262.0,2,41,47,0
tail,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,250.8,13,5,5.19,14,2013,2281,2228,11043,19728,20861,20930,16,2006,2195,2232,337.0,337.1,2,140,142,0
tail,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,265.6,13,5,5.41,14,1207,1476,1474,11006,18678,19681,19748,16,1159,1449,1475,337.0,337.1,2,80,86,0
tailf,50,LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,5250,24,500,20000,10,24,1,162.4,12,3,4.08,12,1040,1476,1583,17492,31410,32241,32312,15,1030,1439,1588,185.0,185.0,3,49,54,50
tailf,50,LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,5250,24,500,20000,10,24,2,159.2,8,3,4.10,12,1610,2080,2180,17552,31404,32900,32970,15,1553,2080,2183,185.0,185.0,3,71,73,51
tailf,70,LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,5250,24,500,20000,10,24,1,213.2,9,4,6.28,12,2080,2550,2630,13785,23325,23545,24602,15,2056,2419,2633,259.0,259.0,2,130,142,54
tailf,70,LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,5250,24,500,20000,10,24,2,195.5,9,4,5.07,12,3489,3758,3739,13699,26122,26776,26844,15,3505,3729,3744,259.0,259.0,2,180,182,59
tailf,90,LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,5250,24,500,20000,10,24,1,226.5,12,5,4.09,12,3489,4563,4323,11436,21419,23086,23156,14,3431,4308,4325,333.0,333.0,2,197,207,47
tailf,90,LOCAL,2266159329,NATIVE,core-vt,timer,KEY,zipf,5250,24,500,20000,10,24,2,207.8,10,4,4.31,12,6173,6442,6417,11567,24540,25189,25254,14,6285,6402,6419,333.0,333.0,2,332,339,54
tailf,50,LOCAL,2266159329,NATIVE,core-dpvt,timer,KEY,zipf,5250,24,500,20000,10,24,1,163.4,8,3,6.05,12,2147,3086,3123,17482,31443,32044,32112,16,2124,3041,3126,184.0,184.0,3,92,99,50
tailf,50,LOCAL,2266159329,NATIVE,core-dpvt,timer,KEY,zipf,5250,24,500,20000,10,24,2,149.8,8,3,5.04,12,3489,4026,3982,17479,33296,34957,35028,16,3398,3916,3985,184.0,184.0,3,97,106,47
tailf,70,LOCAL,2266159329,NATIVE,core-dpvt,timer,KEY,zipf,5250,24,500,20000,10,24,1,211.7,12,4,4.89,12,1677,2281,2421,13454,23609,24703,24770,15,1617,2238,2423,257.0,257.0,2,74,76,50
tailf,70,LOCAL,2266159329,NATIVE,core-dpvt,timer,KEY,zipf,5250,24,500,20000,10,24,2,192.0,13,4,4.42,12,4026,4563,4466,13824,25587,27244,27315,15,4018,4379,4469,257.0,257.0,2,200,204,47
