workload,utilisation_pct_of_flat_capacity,pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
flat,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,183.6,11,2,10.74,12,25,35,38,15872,28305,28561,28586,14,28,44,64,207.0,207.0,2,5,10,0
flat,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,183.7,11,2,9.95,12,25,33,41,15873,28303,28532,28565,15,28,48,58,207.0,207.0,2,5,12,0
flat,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,245.1,13,3,11.47,12,32,56,66,12336,21206,21368,21398,14,37,60,68,290.0,290.0,1,7,16,0
flat,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,245.8,11,3,10.26,12,31,46,58,12269,21138,21301,21332,14,34,48,59,290.0,290.0,1,6,9,0
flat,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,303.1,18,4,8.89,12,44,75,86,10244,17138,17264,17294,14,50,77,88,373.0,373.0,1,10,25,0
flat,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,303.1,16,4,8.25,12,44,67,81,10260,17153,17277,17309,14,46,69,82,373.0,373.0,1,9,13,0
tail,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,180.2,14,3,7.36,12,520,805,973,15881,28360,28587,29109,15,509,781,976,207.0,206.9,2,24,26,0
tail,50,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,180.5,9,3,8.77,12,520,838,977,15901,28378,28571,29068,15,510,827,977,207.0,207.0,2,24,25,0
tail,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,232.9,14,4,8.38,12,905,1275,1303,12234,21393,22462,22523,14,880,1244,1304,290.0,290.0,1,51,54,0
tail,70,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,238.3,10,4,8.92,12,520,805,836,12232,21186,21950,22009,14,513,779,837,290.0,290.0,1,35,37,0
tail,90,LOCAL,2266159329,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,285.2,13,6,8.06,12,1040,1342,1357,10299,17452,18341,18401,14,1032,1294,1359,373.0,373.1,2,80,83,0
