workload,utilisation_pct_of_flat_capacity,pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
flat,50,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,1,186.0,18,2,7.71,13,31,41,50,15683,27947,28164,28199,16,39,99,105,210.0,210.0,3,6,19,0
flat,50,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,10,24,2,186.0,19,2,9.98,13,30,41,47,15699,27954,28174,28216,16,35,91,107,210.0,210.0,3,6,21,0
tail,50,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,5,24,1,183.6,8,2,9.41,7,520,771,869,15708,27950,28171,28589,10,514,749,874,210.0,210.0,3,26,31,0
tail,50,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,5,24,2,183.2,7,2,7.54,7,520,704,1002,15700,27924,28159,28640,10,511,701,1005,210.0,210.0,3,20,25,0
tailf,50,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,5,24,1,164.6,7,2,8.16,7,3355,4160,4292,15685,30491,31846,31884,10,3303,4147,4296,210.0,210.0,3,74,86,65
tailf,50,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,5250,24,500,20000,5,24,2,147.0,7,2,7.48,7,7516,8321,8272,15841,34287,35647,35683,10,7355,8123,8274,210.0,210.0,3,126,126,65
flat,70,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,7350,24,500,20000,10,24,1,260.4,7,3,6.35,13,44,71,92,15705,27958,28182,28207,15,46,70,93,294.0,294.0,2,8,11,0
flat,70,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,7350,24,500,20000,10,24,2,260.4,8,3,5.25,13,41,60,77,15709,27961,28184,28207,15,42,63,79,294.0,294.0,2,8,10,0
tail,70,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,7350,24,500,20000,5,24,1,257.9,9,3,4.57,7,637,973,1082,15673,27923,28151,28494,10,629,973,1082,294.0,294.0,2,56,63,0
tail,70,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,7350,24,500,20000,5,24,2,254.8,9,3,5.18,7,872,1208,1193,15738,28008,28178,28830,10,872,1169,1194,294.0,294.0,2,66,80,0
tailf,70,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,7350,24,500,20000,5,24,1,172.5,16,2,5.62,7,13422,15032,14714,16368,40050,42559,42612,10,12954,14629,14716,294.0,294.0,2,413,422,86
tailf,70,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,7350,24,500,20000,5,24,2,208.3,10,2,6.52,7,7516,7784,7771,16255,34221,35212,35262,10,7383,7706,7773,294.0,294.0,2,304,312,85
