pc_version,client_pin,mode,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight
LOCAL,NATIVE,core,0,1,1,8504.0,1
LOCAL,NATIVE,core,0,1,2,8441.3,1
LOCAL,NATIVE,core,0,2,1,11030.2,2
LOCAL,NATIVE,core,0,2,2,12169.7,2
LOCAL,NATIVE,core,0,5,1,19021.7,5
LOCAL,NATIVE,core,0,5,2,19006.2,5
LOCAL,NATIVE,core,0,10,1,25547.4,10
LOCAL,NATIVE,core,0,10,2,25287.2,10
LOCAL,NATIVE,core,0,25,1,36904.3,25
LOCAL,NATIVE,core,0,25,2,35772.7,25
LOCAL,NATIVE,core,0,25,3,36591.7,25
LOCAL,NATIVE,core,0,25,4,36618.5,25
LOCAL,NATIVE,core,0,100,1,52285.6,100
LOCAL,NATIVE,core,0,100,2,52153.2,100
LOCAL,NATIVE,core,0,100,3,51080.0,100
LOCAL,NATIVE,core,0,100,4,52005.9,100
LOCAL,NATIVE,core,0,1000,1,63938.6,1000
LOCAL,NATIVE,core,0,1000,2,63891.9,1000
llingr-demux-v0.12.2,franz,llingr,0,1,1,73637.7,1
llingr-demux-v0.12.2,franz,llingr,0,1,2,78194.8,1
llingr-demux-v0.12.2,franz,llingr,0,2,1,86612.2,2
llingr-demux-v0.12.2,franz,llingr,0,2,2,84581.9,2
llingr-demux-v0.12.2,franz,llingr,0,5,1,78971.1,3
llingr-demux-v0.12.2,franz,llingr,0,5,2,84276.4,2
llingr-demux-v0.12.2,franz,llingr,0,10,1,86206.9,2
llingr-demux-v0.12.2,franz,llingr,0,10,2,89951.2,3
llingr-demux-v0.12.2,franz,llingr,0,25,1,87216.5,3
llingr-demux-v0.12.2,franz,llingr,0,25,2,88562.8,2
llingr-demux-v0.12.2,franz,llingr,0,100,1,88585.2,3
llingr-demux-v0.12.2,franz,llingr,0,100,2,88697.4,3
llingr-demux-v0.12.2,franz,llingr,0,1000,1,84134.6,3
llingr-demux-v0.12.2,franz,llingr,0,1000,2,87500.0,3
franz-go-v1.21.5,franz,franz,0,1,1,111714.0,1
franz-go-v1.21.5,franz,franz,0,1,2,112648.9,1
franz-go-v1.21.5,franz,franz,0,2,1,111394.0,2
franz-go-v1.21.5,franz,franz,0,2,2,111146.4,2
franz-go-v1.21.5,franz,franz,0,5,1,110097.5,4
franz-go-v1.21.5,franz,franz,0,5,2,110062.9,4
franz-go-v1.21.5,franz,franz,0,10,1,109614.8,3
franz-go-v1.21.5,franz,franz,0,10,2,109000.3,3
franz-go-v1.21.5,franz,franz,0,25,1,109511.9,3
franz-go-v1.21.5,franz,franz,0,25,2,109068.2,3
franz-go-v1.21.5,franz,franz,0,100,1,106189.3,3
franz-go-v1.21.5,franz,franz,0,100,2,106935.5,4
franz-go-v1.21.5,franz,franz,0,1000,1,106124.9,3
franz-go-v1.21.5,franz,franz,0,1000,2,106253.8,4
