pc_version,client_pin,mode,repeat,msg_per_sec,peak_in_flight
0.3.0.2,NATIVE,core,1,26066.9,100
0.3.0.2,NATIVE,core,2,26154.5,100
0.3.2.0,NATIVE,core,1,25897.2,100
0.3.2.0,NATIVE,core,2,26004.9,100
0.4.0.0,NATIVE,core,1,26144.8,100
0.4.0.0,NATIVE,core,2,25815.0,100
0.5.0.0,NATIVE,core,1,24381.7,100
0.5.0.0,NATIVE,core,2,22079.2,100
0.5.2.0,NATIVE,core,1,22733.2,100
0.5.2.0,NATIVE,core,2,23455.3,100
0.5.2.4,NATIVE,core,1,25874.2,100
0.5.2.4,NATIVE,core,2,25914.4,100
0.5.3.2,NATIVE,core,1,23362.9,100
0.5.3.2,NATIVE,core,2,23442.7,100
LOCAL,NATIVE,core,1,23785.3,100
LOCAL,NATIVE,core,2,23717.6,100
