pc_version,client_pin,mode,repeat,msg_per_sec,peak_in_flight
0.3.0.2,NATIVE,pc,1,22178.6,100
0.3.0.2,NATIVE,pc,2,22025.0,100
0.3.2.0,NATIVE,pc,1,21987.7,100
0.3.2.0,NATIVE,pc,2,20936.8,100
0.4.0.0,NATIVE,pc,1,11878.9,98
0.4.0.0,NATIVE,pc,2,11662.8,99
0.5.0.0,NATIVE,pc,1,9999.7,100
0.5.0.0,NATIVE,pc,2,9644.8,100
0.5.2.0,NATIVE,pc,1,9610.4,100
0.5.2.0,NATIVE,pc,2,8581.0,100
0.5.2.4,NATIVE,pc,1,15267.2,100
0.5.2.4,NATIVE,pc,2,14978.4,100
0.5.2.8,NATIVE,pc,1,16657.1,100
0.5.2.8,NATIVE,pc,2,14947.7,100
0.5.3.2,NATIVE,pc,1,16094.9,100
0.5.3.2,NATIVE,pc,2,16224.0,100
LOCAL,NATIVE,pc,1,16139.4,100
LOCAL,NATIVE,pc,2,16276.8,100
