pc_version,client_pin,mode,ordering,partitions,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight
LOCAL,NATIVE,core,UNORDERED,10,0,10,1,21348.4,10
LOCAL,NATIVE,core,UNORDERED,10,0,100,1,56009.9,100
LOCAL,NATIVE,core-dp,UNORDERED,10,0,10,1,66085.1,10
LOCAL,NATIVE,core-dp,UNORDERED,10,0,100,1,64176.6,100
LOCAL,NATIVE,core,UNORDERED,10,0,10,1,22860.3,10
LOCAL,NATIVE,core,UNORDERED,10,0,100,1,57077.6,100
LOCAL,NATIVE,core-dp,UNORDERED,10,0,10,1,66693.3,10
LOCAL,NATIVE,core-dp,UNORDERED,10,0,100,1,56458.9,100
LOCAL,NATIVE,core-dp,UNORDERED,10,0,10,2,61644.7,10
LOCAL,NATIVE,core-dp,UNORDERED,10,0,100,2,56022.4,100
LOCAL,NATIVE,core,UNORDERED,10,0,10,2,26828.4,10
LOCAL,NATIVE,core,UNORDERED,10,0,100,2,78715.4,100
LOCAL,NATIVE,core-dp,UNORDERED,10,0,10,2,109146.5,10
LOCAL,NATIVE,core-dp,UNORDERED,10,0,100,2,89253.8,100
LOCAL,NATIVE,core,UNORDERED,10,0,10,2,26909.2,10
LOCAL,NATIVE,core,UNORDERED,10,0,100,2,79001.4,100
LOCAL,NATIVE,core,UNORDERED,10,0,10,3,28417.2,10
LOCAL,NATIVE,core,UNORDERED,10,0,100,3,79113.9,100
LOCAL,NATIVE,core-dp,UNORDERED,10,0,10,3,106929.0,10
LOCAL,NATIVE,core-dp,UNORDERED,10,0,100,3,98755.7,100
LOCAL,NATIVE,core,UNORDERED,10,0,10,3,29469.0,10
LOCAL,NATIVE,core,UNORDERED,10,0,100,3,78988.9,100
LOCAL,NATIVE,core-dp,UNORDERED,10,0,10,3,105663.6,10
LOCAL,NATIVE,core-dp,UNORDERED,10,0,100,3,103327.1,100
LOCAL,NATIVE,core,UNORDERED,10,0,250,1,97389.9,205
LOCAL,NATIVE,core,UNORDERED,10,0,500,1,106089.5,500
LOCAL,NATIVE,core-dp,UNORDERED,10,0,250,1,67613.3,250
LOCAL,NATIVE,core-dp,UNORDERED,10,0,500,1,30226.1,500
LOCAL,NATIVE,core,UNORDERED,10,0,250,1,97333.1,250
LOCAL,NATIVE,core,UNORDERED,10,0,500,1,103241.8,500
LOCAL,NATIVE,core-dp,UNORDERED,10,0,250,1,65685.8,250
LOCAL,NATIVE,core-dp,UNORDERED,10,0,500,1,33187.3,500
LOCAL,NATIVE,core-dp,UNORDERED,10,0,250,2,82101.8,250
LOCAL,NATIVE,core-dp,UNORDERED,10,0,500,2,42304.8,500
LOCAL,NATIVE,core,UNORDERED,10,0,250,2,91457.8,250
LOCAL,NATIVE,core,UNORDERED,10,0,500,2,104210.1,451
LOCAL,NATIVE,core-dp,UNORDERED,10,0,250,2,64632.9,250
LOCAL,NATIVE,core-dp,UNORDERED,10,0,500,2,36616.6,500
LOCAL,NATIVE,core,UNORDERED,10,0,250,2,91659.0,250
LOCAL,NATIVE,core,UNORDERED,10,0,500,2,91894.9,500
LOCAL,NATIVE,core,UNORDERED,10,0,250,3,97181.7,250
LOCAL,NATIVE,core,UNORDERED,10,0,500,3,105954.7,313
LOCAL,NATIVE,core-dp,UNORDERED,10,0,250,3,65928.3,250
LOCAL,NATIVE,core-dp,UNORDERED,10,0,500,3,43007.1,500
LOCAL,NATIVE,core,UNORDERED,10,0,250,3,91743.1,250
LOCAL,NATIVE,core,UNORDERED,10,0,500,3,91157.7,500
LOCAL,NATIVE,core-dp,UNORDERED,10,0,250,3,59017.9,250
LOCAL,NATIVE,core-dp,UNORDERED,10,0,500,3,50180.7,500
LOCAL,NATIVE,core,UNORDERED,10,0,1000,1,106769.2,280
LOCAL,NATIVE,core-dp,UNORDERED,10,0,1000,1,23704.5,1000
LOCAL,NATIVE,core,UNORDERED,10,0,5000,1,93283.6,1976
LOCAL,NATIVE,core-dp,UNORDERED,10,0,5000,1,3458.1,4136
LOCAL,NATIVE,core-dp,UNORDERED,10,0,1000,2,14157.9,1000
LOCAL,NATIVE,core,UNORDERED,10,0,1000,2,106269.9,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,0,5000,2,4415.9,4794
LOCAL,NATIVE,core,UNORDERED,10,0,5000,2,92661.2,1270
LOCAL,NATIVE,core,UNORDERED,10,0,1000,3,108648.4,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,0,1000,3,14329.1,1000
LOCAL,NATIVE,core,UNORDERED,10,0,5000,3,79605.2,1702
LOCAL,NATIVE,core-dp,UNORDERED,10,0,5000,3,5475.8,4744
