pc_version,client_pin,mode,ordering,partitions,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight
LOCAL,NATIVE,core,UNORDERED,10,0,1000,1,106769.2,280
LOCAL,NATIVE,core-dp,UNORDERED,10,0,1000,1,23704.5,1000
LOCAL,NATIVE,core,UNORDERED,10,2,1000,1,65884.8,515
LOCAL,NATIVE,core-dp,UNORDERED,10,2,1000,1,8968.8,999
LOCAL,NATIVE,core,UNORDERED,10,100,1000,1,8861.6,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,100,1000,1,8215.6,1000
LOCAL,NATIVE,core,UNORDERED,10,0,5000,1,93283.6,1976
LOCAL,NATIVE,core-dp,UNORDERED,10,0,5000,1,3458.1,4136
LOCAL,NATIVE,core,UNORDERED,10,2,5000,1,28574.7,304
LOCAL,NATIVE,core-dp,UNORDERED,10,2,5000,1,5152.9,3349
LOCAL,NATIVE,core,UNORDERED,10,100,5000,1,19478.0,2758
LOCAL,NATIVE,core-dp,UNORDERED,10,100,5000,1,7209.6,4818
LOCAL,NATIVE,core-dp,UNORDERED,10,0,1000,2,14157.9,1000
LOCAL,NATIVE,core,UNORDERED,10,0,1000,2,106269.9,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,2,1000,2,10534.3,1000
LOCAL,NATIVE,core,UNORDERED,10,2,1000,2,66454.0,514
LOCAL,NATIVE,core-dp,UNORDERED,10,100,1000,2,8468.0,1000
LOCAL,NATIVE,core,UNORDERED,10,100,1000,2,8874.5,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,0,5000,2,4415.9,4794
LOCAL,NATIVE,core,UNORDERED,10,0,5000,2,92661.2,1270
LOCAL,NATIVE,core-dp,UNORDERED,10,2,5000,2,4610.4,4940
LOCAL,NATIVE,core,UNORDERED,10,2,5000,2,28283.7,305
LOCAL,NATIVE,core-dp,UNORDERED,10,100,5000,2,4436.9,4986
LOCAL,NATIVE,core,UNORDERED,10,100,5000,2,19479.5,2742
LOCAL,NATIVE,core,UNORDERED,10,0,1000,3,108648.4,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,0,1000,3,14329.1,1000
LOCAL,NATIVE,core,UNORDERED,10,2,1000,3,63605.1,448
LOCAL,NATIVE,core-dp,UNORDERED,10,2,1000,3,8626.9,998
LOCAL,NATIVE,core,UNORDERED,10,100,1000,3,8830.8,1000
LOCAL,NATIVE,core-dp,UNORDERED,10,100,1000,3,8334.4,1000
LOCAL,NATIVE,core,UNORDERED,10,0,5000,3,79605.2,1702
LOCAL,NATIVE,core-dp,UNORDERED,10,0,5000,3,5475.8,4744
LOCAL,NATIVE,core,UNORDERED,10,2,5000,3,31861.3,303
LOCAL,NATIVE,core-dp,UNORDERED,10,2,5000,3,4273.1,4645
LOCAL,NATIVE,core,UNORDERED,10,100,5000,3,19117.5,2654
LOCAL,NATIVE,core-dp,UNORDERED,10,100,5000,3,4721.2,4996
