scenario,engine,repeat,commit_interval_ms,completed,committed_offset,divergence,max_divergence,max_commit_freeze_ms,metadata_bytes,redelivered_or_dead_lettered,delivered,ms
stuck,core,1,500,200000,1,199999,199998,24495,12,,,28245
stuck,core,2,500,200000,1,199999,199998,24910,12,,,28239
stuck,core,3,500,200000,1,199999,199998,24925,12,,,28216
stuck,llingr,1,500,200000,1,199999,199998,24374,40,,,28039
stuck,llingr,2,500,200000,1,199999,199998,24279,40,,,28048
stuck,llingr,3,500,200000,1,199999,199998,24310,40,,,28049
restart-crash,core,1,500,100127,1,100126,97160,3315,36,,,5966
restart-resume,core,1,500,106023,200000,,,,,6435,106023,2783
restart-wasted,core,1,500,100412,,,,,,6435,,
restart-crash,core,2,500,100317,1,100316,97030,3260,12,,,5918
restart-resume,core,2,500,106518,200000,,,,,6978,106518,2804
restart-wasted,core,2,500,100460,,,,,,6978,,
restart-crash,core,3,500,100200,1,100199,98551,2579,24,,,5897
restart-resume,core,3,500,105416,200000,,,,,5823,105416,2747
restart-wasted,core,3,500,100407,,,,,,5823,,
restart-crash,llingr,1,500,100000,1,99999,97703,3290,40,,,5388
restart-resume,llingr,1,500,199999,200000,,,,,100022,199999,4676
restart-wasted,llingr,1,500,100023,,,,,,100022,,
restart-crash,llingr,2,500,100001,1,100000,95997,3294,40,,,5447
restart-resume,llingr,2,500,199999,200000,,,,,100002,199999,4648
restart-wasted,llingr,2,500,100003,,,,,,100002,,
restart-crash,llingr,3,500,100000,1,99999,97472,3294,40,,,5402
restart-resume,llingr,3,500,199999,200000,,,,,100000,199999,4648
restart-wasted,llingr,3,500,100001,,,,,,100000,,
retry,core,1,500,50868,24660,,,,,0,56132,4768
retry,core,2,500,50337,24830,,,,,0,55540,4760
retry,core,3,500,50208,24990,,,,,0,55402,4728
retry,llingr,1,500,44998,41236,,,,,5002,50078,4200
retry,llingr,2,500,45001,38848,,,,,4999,50027,4316
retry,llingr,3,500,45007,40834,,,,,4997,50060,4206
