scenario,engine,repeat,commit_interval_ms,completed,committed_offset,divergence,max_divergence,max_commit_freeze_ms,metadata_bytes,redelivered_or_dead_lettered,delivered,ms
restart-crash,core,1,5000,100024,1,100023,99880,23606,56,,,26882
restart-resume,core,1,5000,115301,200000,,,,,15361,115301,26974
restart-wasted,core,1,5000,100060,,,,,,15361,,
restart-crash,core,2,5000,100015,1,100014,99722,23328,12,,,26928
restart-resume,core,2,5000,115260,200000,,,,,15306,115260,27149
restart-wasted,core,2,5000,100046,,,,,,15306,,
restart-crash,core,3,5000,100020,1,100019,99345,23499,36,,,27166
restart-resume,core,3,5000,116361,200000,,,,,16411,116361,27615
restart-wasted,core,3,5000,100050,,,,,,16411,,
restart-crash,llingr,1,5000,100000,1,99999,99432,19142,40,,,24321
restart-resume,llingr,1,5000,199999,200000,,,,,100004,199999,41902
restart-wasted,llingr,1,5000,100005,,,,,,100004,,
restart-crash,llingr,2,5000,100001,1,100000,99432,19104,40,,,24295
restart-resume,llingr,2,5000,199999,200000,,,,,100001,199999,41845
restart-wasted,llingr,2,5000,100002,,,,,,100001,,
restart-crash,llingr,3,5000,100000,1,99999,99432,19117,40,,,24299
restart-resume,llingr,3,5000,199999,200000,,,,,99999,199999,41841
restart-wasted,llingr,3,5000,100000,,,,,,99999,,
