scenario,engine,repeat,commit_interval_ms,completed,committed_offset,divergence,max_divergence,max_commit_freeze_ms,metadata_bytes,redelivered_or_dead_lettered,delivered,ms
restart-crash,core,1,5000,150051,1,150050,141807,3636,8,,,7122
restart-resume,core,1,5000,199733,200000,,,,,149983,199733,5144
restart-wasted,core,1,5000,150250,,,,,,149983,,
restart-crash,core,2,5000,150258,1,150257,150254,3888,8,,,7148
restart-resume,core,2,5000,199778,200000,,,,,150248,199778,5104
restart-wasted,core,2,5000,150470,,,,,,150248,,
restart-crash,core,3,5000,150230,1,150229,140519,3622,8,,,7141
restart-resume,core,3,5000,199767,200000,,,,,150254,199767,5155
restart-wasted,core,3,5000,150487,,,,,,150254,,
restart-crash,llingr,1,5000,150001,1,150000,141641,4817,40,,,6573
restart-resume,llingr,1,5000,199999,200000,,,,,150022,199999,4707
restart-wasted,llingr,1,5000,150023,,,,,,150022,,
restart-crash,llingr,2,5000,150000,1,149999,140733,4819,40,,,6591
restart-resume,llingr,2,5000,199999,200000,,,,,150010,199999,4702
restart-wasted,llingr,2,5000,150011,,,,,,150010,,
restart-crash,llingr,3,5000,150001,1,150000,140027,4811,40,,,6593
restart-resume,llingr,3,5000,199999,200000,,,,,150003,199999,4589
restart-wasted,llingr,3,5000,150004,,,,,,150003,,
