t_ms,completed,delivered,committed_offset,divergence,in_flight,metadata_bytes
127,0,0,-1,0,0,0
387,0,0,-1,0,0,0
650,0,0,-1,0,0,0
913,0,0,-1,0,0,0
1170,0,0,-1,0,0,0
1426,0,0,-1,0,0,0
1684,0,0,-1,0,0,0
1942,0,0,-1,0,0,0
2203,0,0,-1,0,0,0
2460,0,0,-1,0,0,0
2721,0,0,-1,0,0,0
2982,0,0,-1,0,0,0
3240,275,332,-1,275,57,0
3497,4895,4995,1,4894,100,8
3755,15282,15382,1,15281,100,8
4014,25595,25695,1,25594,100,44
4271,35680,35780,1,35679,100,56
4529,43788,43888,1,43787,100,56
4788,53749,53849,1,53748,100,12
5046,64079,64179,1,64078,100,12
5304,74470,74570,1,74469,100,12
5564,84911,85011,1,84910,100,12
5826,95500,95596,1,95499,96,12
6086,105560,105660,1,105559,100,12
6431,118422,118522,1,118421,100,12
6689,128706,128806,1,128705,100,12
6952,139177,139277,1,139176,100,12
7213,149376,149475,1,149375,98,12
7472,159345,159445,1,159344,100,44
7736,169914,170014,1,169913,100,44
7994,180352,180452,1,180351,100,120
8255,190271,190371,1,190270,100,120
8513,199999,200000,1,199998,1,12
8779,199999,200000,1,199998,1,12
9038,199999,200000,1,199998,1,12
9301,199999,200000,1,199998,1,12
9559,199999,200000,1,199998,1,12
9817,199999,200000,1,199998,1,12
10076,199999,200000,1,199998,1,12
10337,199999,200000,1,199998,1,12
10595,199999,200000,1,199998,1,12
10851,199999,200000,1,199998,1,12
11111,199999,200000,1,199998,1,12
11367,199999,200000,1,199998,1,12
11628,199999,200000,1,199998,1,12
11890,199999,200000,1,199998,1,12
12147,199999,200000,1,199998,1,12
12408,199999,200000,1,199998,1,12
12669,199999,200000,1,199998,1,12
12933,199999,200000,1,199998,1,12
13190,199999,200000,1,199998,1,12
13453,199999,200000,1,199998,1,12
13711,199999,200000,1,199998,1,12
13969,199999,200000,1,199998,1,12
14227,199999,200000,1,199998,1,12
14486,199999,200000,1,199998,1,12
14743,199999,200000,1,199998,1,12
15004,199999,200000,1,199998,1,12
15265,199999,200000,1,199998,1,12
15530,199999,200000,1,199998,1,12
15787,199999,200000,1,199998,1,12
16055,199999,200000,1,199998,1,12
16317,199999,200000,1,199998,1,12
16577,199999,200000,1,199998,1,12
16835,199999,200000,1,199998,1,12
17095,199999,200000,1,199998,1,12
17354,199999,200000,1,199998,1,12
17610,199999,200000,1,199998,1,12
17869,199999,200000,1,199998,1,12
18127,199999,200000,1,199998,1,12
18388,199999,200000,1,199998,1,12
18648,199999,200000,1,199998,1,12
18906,199999,200000,1,199998,1,12
19164,199999,200000,1,199998,1,12
19424,199999,200000,1,199998,1,12
19684,199999,200000,1,199998,1,12
19943,199999,200000,1,199998,1,12
20202,199999,200000,1,199998,1,12
20465,199999,200000,1,199998,1,12
20727,199999,200000,1,199998,1,12
20984,199999,200000,1,199998,1,12
21240,199999,200000,1,199998,1,12
21496,199999,200000,1,199998,1,12
21755,199999,200000,1,199998,1,12
22013,199999,200000,1,199998,1,12
22271,199999,200000,1,199998,1,12
22530,199999,200000,1,199998,1,12
22788,199999,200000,1,199998,1,12
23045,199999,200000,1,199998,1,12
23301,199999,200000,1,199998,1,12
23560,199999,200000,1,199998,1,12
23817,199999,200000,1,199998,1,12
24078,199999,200000,1,199998,1,12
24341,199999,200000,1,199998,1,12
24604,199999,200000,1,199998,1,12
24881,199999,200000,1,199998,1,12
25140,199999,200000,1,199998,1,12
25396,199999,200000,1,199998,1,12
25653,199999,200000,1,199998,1,12
25912,199999,200000,1,199998,1,12
26172,199999,200000,1,199998,1,12
26429,199999,200000,1,199998,1,12
26688,199999,200000,1,199998,1,12
26948,199999,200000,1,199998,1,12
27206,199999,200000,1,199998,1,12
27470,199999,200000,1,199998,1,12
27731,199999,200000,1,199998,1,12
27992,199999,200000,1,199998,1,12
28249,200000,200000,200000,0,0,0
