t_ms,completed,delivered,committed_offset,divergence,in_flight,metadata_bytes
6,0,0,-1,0,0,0
263,0,0,-1,0,0,0
518,0,0,-1,0,0,0
776,0,0,-1,0,0,0
1029,0,0,-1,0,0,0
1281,0,0,-1,0,0,0
1536,0,0,-1,0,0,0
1791,0,0,-1,0,0,0
2044,0,0,-1,0,0,0
2297,0,0,-1,0,0,0
2551,0,0,-1,0,0,0
2803,0,0,-1,0,0,0
3054,640,732,-1,640,92,0
3307,11784,11884,-1,11784,100,0
3560,22350,22450,1,22349,100,40
3814,33209,33307,1,33208,98,40
4067,43755,43855,1,43754,100,40
4320,54586,54686,1,54585,100,40
4573,65419,65519,1,65418,100,40
4825,75673,75674,1,75672,1,40
5081,86244,86344,1,86243,100,40
5335,97000,97042,1,96999,41,40
5589,108149,108249,1,108148,100,40
5843,117827,117927,1,117826,100,40
6096,128906,129005,1,128905,99,40
6352,139919,139981,1,139918,62,40
6607,150499,150574,1,150498,75,40
6863,161783,161852,1,161782,69,40
7119,173069,173126,1,173068,57,40
7374,182919,183019,1,182918,100,40
7629,194188,194263,1,194187,73,40
7885,199999,200000,1,199998,1,40
8144,199999,200000,1,199998,1,40
8401,199999,200000,1,199998,1,40
8658,199999,200000,1,199998,1,40
8915,199999,200000,1,199998,1,40
9172,199999,200000,1,199998,1,40
9428,199999,200000,1,199998,1,40
9695,199999,200000,1,199998,1,40
9949,199999,200000,1,199998,1,40
10203,199999,200000,1,199998,1,40
10458,199999,200000,1,199998,1,40
10712,199999,200000,1,199998,1,40
10967,199999,200000,1,199998,1,40
11223,199999,200000,1,199998,1,40
11477,199999,200000,1,199998,1,40
11734,199999,200000,1,199998,1,40
11989,199999,200000,1,199998,1,40
12244,199999,200000,1,199998,1,40
12502,199999,200000,1,199998,1,40
12758,199999,200000,1,199998,1,40
13016,199999,200000,1,199998,1,40
13269,199999,200000,1,199998,1,40
13524,199999,200000,1,199998,1,40
13787,199999,200000,1,199998,1,40
14043,199999,200000,1,199998,1,40
14298,199999,200000,1,199998,1,40
14553,199999,200000,1,199998,1,40
14807,199999,200000,1,199998,1,40
15061,199999,200000,1,199998,1,40
15314,199999,200000,1,199998,1,40
15571,199999,200000,1,199998,1,40
15827,199999,200000,1,199998,1,40
16088,199999,200000,1,199998,1,40
16344,199999,200000,1,199998,1,40
16602,199999,200000,1,199998,1,40
16857,199999,200000,1,199998,1,40
17112,199999,200000,1,199998,1,40
17371,199999,200000,1,199998,1,40
17628,199999,200000,1,199998,1,40
17882,199999,200000,1,199998,1,40
18136,199999,200000,1,199998,1,40
18390,199999,200000,1,199998,1,40
18646,199999,200000,1,199998,1,40
18902,199999,200000,1,199998,1,40
19157,199999,200000,1,199998,1,40
19411,199999,200000,1,199998,1,40
19667,199999,200000,1,199998,1,40
19934,199999,200000,1,199998,1,40
20189,199999,200000,1,199998,1,40
20444,199999,200000,1,199998,1,40
20706,199999,200000,1,199998,1,40
20977,199999,200000,1,199998,1,40
21231,199999,200000,1,199998,1,40
21487,199999,200000,1,199998,1,40
21745,199999,200000,1,199998,1,40
22007,199999,200000,1,199998,1,40
22264,199999,200000,1,199998,1,40
22521,199999,200000,1,199998,1,40
22785,199999,200000,1,199998,1,40
23045,199999,200000,1,199998,1,40
23316,199999,200000,1,199998,1,40
23570,199999,200000,1,199998,1,40
23838,199999,200000,1,199998,1,40
24097,199999,200000,1,199998,1,40
24355,199999,200000,1,199998,1,40
24611,199999,200000,1,199998,1,40
24869,199999,200000,1,199998,1,40
25127,199999,200000,1,199998,1,40
25381,199999,200000,1,199998,1,40
25638,199999,200000,1,199998,1,40
25893,199999,200000,1,199998,1,40
26145,199999,200000,1,199998,1,40
26401,199999,200000,1,199998,1,40
26656,199999,200000,1,199998,1,40
26912,199999,200000,1,199998,1,40
27166,199999,200000,1,199998,1,40
27423,199999,200000,1,199998,1,40
27680,199999,200000,1,199998,1,40
27935,199999,200000,1,199998,1,40
