message_buffer_size,handler_p99_ms,load_1min,pc_version,client_pin,mode,callee,ordering,records,partitions,max_poll_records,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms
0,flat,5.55,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,1,46.9,3,9663,36506,38654,38678,119257,236568,239325,239618
0,flat,5.55,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,2,RUN_TIMEOUT_240s,,,,,,,,,
0,flat,4.79,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,1,707.0,24,770,2682,2816,2793,11131,18808,18958,18967
0,flat,4.79,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,2,706.0,24,1206,3353,3488,3371,9246,15074,15185,15195
0,1000,3.47,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,1,64.7,5,6710,18253,20400,19848,71401,150773,153228,154477
0,1000,3.47,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,2,68.2,6,7247,18253,20400,20018,69507,144326,146313,146609
0,1000,5.96,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,1,531.8,24,871,1945,2683,2981,11229,19348,19484,20458
0,1000,5.96,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,2,534.3,24,971,2280,2951,3448,11267,19203,19330,20307
20000,flat,4.57,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,1,694.4,24,5636,11273,11273,11141,25469,47318,47724,47765
20000,flat,4.57,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,2,684.9,24,5905,11273,11810,11372,25847,47671,48061,48110
20000,flat,12.00,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,1,712.9,24,5365,10733,10733,10779,24881,46059,46455,46485
20000,flat,12.00,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,2,720.2,24,5365,10733,10733,10575,24635,45919,46322,46363
20000,1000,7.95,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,1,531.6,24,7784,15568,15568,15571,34448,68091,68783,68841
20000,1000,7.95,LOCAL,NATIVE,core,blocking,PARTITION,10000,24,500,20,24,2,271.2,13,16642,33285,33285,33167,45930,86150,86786,86887
20000,1000,5.84,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,1,535.9,24,7780,15565,15565,15411,33622,63588,64158,64211
20000,1000,5.84,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,2,539.4,24,7780,15565,15565,15203,33685,63846,64414,64485
240,flat,18.82,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,1,723.6,24,1274,3623,3757,4023,9616,15795,15907,15917
240,flat,18.82,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,2,723.1,24,1541,4159,4293,4225,8676,14014,14115,14123
240,1000,13.62,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,1,535.7,24,2146,6978,8052,9019,11186,19184,19334,20203
240,1000,13.62,LOCAL,NATIVE,core,blocking,KEY,10000,24,500,20,24,2,509.5,24,2548,6709,8051,10567,12084,20126,20262,21272
