pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,1,1209.6,24,23,3.78,-,-,-,-,6582,9858,9916,9921,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,2,1208.8,24,23,3.52,-,-,-,-,6578,9847,9907,9911,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,1,1217.8,24,23,3.29,-,-,-,-,6566,9767,9826,9833,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,2,1218.4,24,23,3.58,-,-,-,-,6538,9774,9835,9845,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,1,1220.8,24,23,3.64,2549,5905,5905,5769,6530,9727,9780,9795,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,2,1222.4,24,23,4.11,2818,6173,6173,6019,6532,9743,9808,9815,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,1,1219.9,24,23,3.85,2549,5905,5905,5749,6531,9745,9804,9810,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,2,1218.4,24,23,3.95,2549,5905,5905,5777,6557,9759,9815,9830,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,1,1093.6,24,22,4.68,-,-,-,-,6588,9875,10960,10963,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,2,1093.6,24,23,4.50,-,-,-,-,6606,9859,10943,10943,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,1,1096.5,24,22,4.27,-,-,-,-,6621,9841,10919,10919,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,2,1096.1,24,22,4.07,-,-,-,-,6639,9861,10942,10942,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,1,1097.5,24,23,4.09,2549,5905,6978,6837,6602,9825,10908,10908,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,KEY,distinct,12000,24,500,0,10,24,2,1092.8,24,23,3.69,2683,5905,6978,6907,6630,9875,10961,10963,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,1,1096.1,24,23,4.39,2683,5905,6978,6875,6607,9833,10913,10913,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,0,10,24,2,1100.0,24,23,5.49,2818,6173,7247,7129,6566,9825,10907,10909,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,1,174.1,24,1,5.23,-,-,-,-,45170,67873,68771,68919,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,2,162.6,24,1,4.39,-,-,-,-,44363,72062,73611,73785,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,1,1219.9,24,23,3.43,-,-,-,-,6524,9742,9803,9809,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,2,1222.5,24,23,3.37,-,-,-,-,6559,9739,9798,9806,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,1,162.1,24,1,3.30,838,20401,21474,21475,44457,72342,73828,73997,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,2,161.6,24,1,3.61,838,20401,21474,21566,44652,72571,74070,74242,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,1,1216.1,24,23,4.26,2549,5905,5905,5802,6556,9786,9845,9853,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,2,1221.7,24,23,4.06,2549,5905,5905,5733,6554,9728,9783,9793,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,1,90.9,24,1,3.85,-,-,-,-,81692,129226,131761,131926,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,2,99.0,24,1,4.18,-,-,-,-,76166,118960,121031,121201,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,1,1096.4,24,23,4.75,-,-,-,-,6592,9830,10910,10912,-,-,-,-,-,-,-,0,0,113
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,2,1099.0,24,22,4.63,-,-,-,-,6611,9824,10896,10897,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,1,91.2,24,1,4.10,1476,36507,38654,36866,80489,128864,131404,131569,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,KEY,zipf,12000,24,500,0,10,24,2,100.2,24,1,4.42,1476,27917,32212,31537,78311,117687,119604,119762,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,1,1093.6,24,23,5.69,1744,5099,6173,6063,6640,9882,10969,10969,-,-,-,-,-,-,-,0,0,113
LOCAL,2426224418,NATIVE,core,async,UNORDERED,zipf,12000,24,500,0,10,24,2,1093.0,24,23,5.42,2683,5905,6978,6899,6651,9884,10970,10971,-,-,-,-,-,-,-,0,0,113
