pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,20000,10,24,1,1209.8,24,23,5.63,-,-,-,-,6593,9832,9884,9896,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,20000,10,24,2,1211.9,24,23,5.60,-,-,-,-,6590,9817,9881,9884,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1223.9,24,23,4.98,-,-,-,-,6511,9709,9768,9774,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1222.9,24,23,4.67,-,-,-,-,6533,9723,9785,9789,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,distinct,12000,24,500,20000,10,24,1,1213.3,24,23,4.23,3353,6709,6709,6572,6549,9793,9850,9857,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,KEY,distinct,12000,24,500,20000,10,24,2,1221.2,24,23,4.05,3353,6709,6709,6542,6547,9739,9798,9803,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1228.1,24,23,4.53,3353,6440,6709,6481,6519,9702,9756,9766,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1220.5,24,23,4.92,3353,6709,6709,6526,6531,9743,9802,9811,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,KEY,distinct,12000,24,500,20000,10,24,1,1142.7,24,24,4.46,3623,7247,7247,7228,6869,10413,10469,10481,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,KEY,distinct,12000,24,500,20000,10,24,2,1141.8,24,24,4.87,3758,7247,7247,7251,6874,10426,10497,10497,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1142.1,24,24,5.75,3757,7247,7247,7242,6917,10440,10505,10505,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1149.9,24,24,6.47,3623,7247,7247,7179,6858,10363,10430,10430,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,distinct,12000,24,500,20000,10,24,1,1163.5,24,24,6.08,3623,7247,7247,7052,6779,10229,10295,10295,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,KEY,distinct,12000,24,500,20000,10,24,2,1157.9,24,24,5.83,3623,7247,7247,7126,6776,10279,10354,10355,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1141.1,24,24,5.41,3758,7247,7247,7244,6880,10420,10492,10492,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1143.7,24,24,4.79,3623,7247,7247,7208,6841,10388,10458,10458,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,KEY,distinct,12000,24,500,20000,10,24,1,1304.9,24,23,4.27,3083,5901,6170,5957,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,KEY,distinct,12000,24,500,20000,10,24,2,1314.9,24,22,3.99,3083,5901,5901,5890,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1313.9,24,23,3.92,3083,5901,5901,5844,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1322.9,24,22,5.03,3083,5901,5901,5828,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,KEY,distinct,12000,24,500,20000,10,24,1,1268.9,24,23,5.00,3347,6166,6434,6213,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,KEY,distinct,12000,24,500,20000,10,24,2,1290.0,24,23,4.76,3213,6166,6166,6072,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1241.5,24,23,4.98,3347,6434,6434,6370,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1289.6,24,22,5.51,3213,6166,6166,6062,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,KEY,distinct,12000,24,500,20000,10,24,1,1280.4,24,23,5.26,3213,6166,6166,6136,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,KEY,distinct,12000,24,500,20000,10,24,2,1245.5,24,23,4.83,3347,6434,6434,6362,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,1271.6,24,23,5.60,3347,6166,6166,6144,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,1290.7,24,23,5.59,3213,6166,6166,6035,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,KEY,distinct,12000,24,500,20000,10,24,1,812.8,24,14,6.23,6173,11810,11810,11511,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,KEY,distinct,12000,24,500,20000,10,24,2,794.2,24,14,5.86,6173,11810,12347,11858,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,distinct,12000,24,500,20000,10,24,1,804.4,24,13,7.06,6172,11809,11809,11605,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,distinct,12000,24,500,20000,10,24,2,795.0,24,15,9.78,6172,11809,12346,11828,-,-,-,-,-,-,-,-,-,-,-,0,0,0
0.5.3.3,2204298880,NATIVE,core,async,KEY,distinct,12000,24,500,20000,10,24,1,1090.1,24,23,6.62,-,-,-,-,6652,9921,11005,11007,-,-,-,-,-,-,-,0,0,113
