pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
LOCAL,2426224418,4.3.1,core,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,17969.5,406,112,4.86,633,969,1002,997,4317,5506,5526,5533,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,core,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,17995.3,584,113,4.66,633,1204,1271,1223,4281,5505,5524,5532,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,core-vt,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,26399.2,3986,723,4.61,126,281,281,273,3654,3765,3769,3769,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,core-vt,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,26588.7,3530,720,4.24,147,256,256,260,3619,3734,3735,3735,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,core-dpvt,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,25720.2,5000,3582,4.22,199,241,258,257,3644,3856,3859,3859,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,core-dpvt,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,26198.6,5000,3114,4.42,182,283,283,282,3596,3811,3813,3813,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,share,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,31162.4,922,123,4.31,28,412,423,423,2942,3688,3705,3706,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,share,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,RUN_TIMEOUT_300s,,,4.52,,,,,,,,,,,,,,,,,,
LOCAL,2426224418,4.3.1,share-explicit,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,29205.6,817,88,3.16,30,424,435,435,3142,3900,3919,3919,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,4.3.1,share-explicit,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,30211.5,917,98,3.20,29,417,427,427,3020,3770,3786,3786,-,-,-,-,-,-,-,0,0,0
