pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,20242.9,375,209,6.92,566,868,868,866,4365,4887,4906,4914,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,17024.2,407,108,6.52,734,1606,1606,1571,4574,5833,5859,5866,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,26399.2,4512,1308,6.85,138,281,298,286,3637,3760,3761,3761,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-vt,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,26336.6,4656,1443,6.39,164,298,298,299,3639,3776,3778,3779,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,25826.4,5000,4996,6.03,191,350,350,346,3654,3849,3851,3852,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,core-dpvt,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,26350.5,5000,4841,6.03,208,283,283,279,3606,3776,3779,3779,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,18358.7,1425,108,5.66,730,1267,1401,1450,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,vertx,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,18635.9,1442,74,6.01,667,1271,1338,1276,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,8156.6,3973,0,5.78,600,1405,9123,9062,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,reactor,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,17934.0,4757,1471,5.31,596,1468,1468,1482,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,17382.2,2099,204,5.61,830,1468,1468,1465,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,mutiny,async,UNORDERED,distinct,100000,1,500,0,2,5000,2,17199.9,2341,362,6.60,763,1468,1468,1461,-,-,-,-,-,-,-,-,-,-,-,0,0,0
LOCAL,2426224418,NATIVE,proxy,async,UNORDERED,distinct,100000,1,500,0,2,5000,1,26602.8,3191,1180,7.56,147,281,281,278,-,-,-,-,-,-,-,-,-,-,-,0,0,0
