workload,pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
flat,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,12000,24,500,20000,10,24,1,419.9,24,1,6.99,2952,24696,25769,25290,6179,27121,28421,28567,-,-,-,-,-,-,-,0,0,0
flat,LOCAL,3335897970,NATIVE,core,timer,PARTITION,zipf,12000,24,500,20000,10,24,1,352.5,24,1,5.71,3757,30064,31137,30652,6989,32598,33876,34015,-,-,-,-,-,-,-,0,0,0
flat,LOCAL,3335897970,NATIVE,core,timer,UNORDERED,zipf,12000,24,500,20000,10,24,1,1307.2,24,22,5.28,2951,5903,5903,5838,6229,9095,9148,9154,-,-,-,-,-,-,-,0,0,0
tail,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,12000,24,500,20000,5,24,1,404.4,24,1,5.43,2818,25769,26843,26385,6066,28416,29583,29657,-,-,-,-,-,-,-,0,0,0
tail,LOCAL,3335897970,NATIVE,core,timer,PARTITION,zipf,12000,24,500,20000,5,24,1,417.5,24,2,6.51,3758,25770,25770,25436,7023,28000,28660,28729,-,-,-,-,-,-,-,0,0,0
tail,LOCAL,3335897970,NATIVE,core,timer,UNORDERED,zipf,12000,24,500,20000,5,24,1,1224.6,24,22,8.32,3085,6172,6172,6472,6319,9279,9340,9789,-,-,-,-,-,-,-,0,0,0
tailf,LOCAL,3335897970,NATIVE,core,timer,KEY,zipf,12000,24,500,20000,5,24,1,251.6,24,1,7.31,3086,42949,45096,44373,6340,45290,47592,47678,-,-,-,-,-,-,-,0,0,128
tailf,LOCAL,3335897970,NATIVE,core,timer,PARTITION,zipf,12000,24,500,20000,5,24,1,198.9,24,1,7.24,6979,55834,57982,57024,10187,57039,60236,60312,-,-,-,-,-,-,-,0,0,129
tailf,LOCAL,3335897970,NATIVE,core,timer,UNORDERED,zipf,12000,24,500,20000,5,24,1,1076.1,24,5,7.22,2816,5367,5903,7852,5953,8618,9068,11136,-,-,-,-,-,-,-,0,0,132
flat,LOCAL,3335897970,4.3.1,share-explicit,timer,UNORDERED,zipf,12000,24,500,20000,10,24,1,959.7,24,0,9.06,219,1263,1313,1325,9642,12841,12890,12900,-,-,-,-,-,-,-,0,0,0
tail,LOCAL,3335897970,4.3.1,share-explicit,timer,UNORDERED,zipf,12000,24,500,20000,5,24,1,981.5,24,6,9.40,123,1019,1211,1528,5545,12061,12091,12587,-,-,-,-,-,-,-,0,0,0
tailf,LOCAL,3335897970,4.3.1,share-explicit,timer,UNORDERED,zipf,12000,24,500,20000,5,24,1,945.8,24,5,9.83,124,1011,1180,1526,5593,12550,13028,13059,-,-,-,-,-,-,-,0,0,114
flat-d,LOCAL,3335897970,NATIVE,core,timer,KEY,distinct,12000,24,500,20000,10,24,1,1311.9,24,22,8.28,3085,5903,5903,5857,6213,9083,9132,9141,-,-,-,-,-,-,-,0,0,0
flat-d,LOCAL,3335897970,NATIVE,core,timer,PARTITION,distinct,12000,24,500,20000,10,24,1,1172.2,24,19,7.77,3221,6442,6979,6951,6374,9663,10063,10212,-,-,-,-,-,-,-,0,0,0
flat-d,LOCAL,3335897970,NATIVE,core,timer,UNORDERED,distinct,12000,24,500,20000,10,24,1,1310.2,24,22,6.88,2951,5903,5903,5862,6189,9080,9130,9138,-,-,-,-,-,-,-,0,0,0
tail-d,LOCAL,3335897970,NATIVE,core,timer,KEY,distinct,12000,24,500,20000,5,24,1,1282.5,24,22,6.23,2951,5635,5635,6082,6072,8828,8887,9356,-,-,-,-,-,-,-,0,0,0
tail-d,LOCAL,3335897970,NATIVE,core,timer,PARTITION,distinct,12000,24,500,20000,5,24,1,1068.5,24,11,5.97,3086,7247,7784,7973,6238,10309,10832,11215,-,-,-,-,-,-,-,0,0,0
tail-d,LOCAL,3335897970,NATIVE,core,timer,UNORDERED,distinct,12000,24,500,20000,5,24,1,1280.4,24,22,5.86,2816,5635,5635,6043,6070,8822,8883,9342,-,-,-,-,-,-,-,0,0,0
