workload,utilisation_pct_of_flat_capacity,pc_version,pc_build,client_pin,mode,callee,ordering,key_dist,records,partitions,max_poll_records,buffer,delay_ms,concurrency,repeat,msg_per_sec,peak_in_flight,inflight_p50,load_1m,residence_p50_ms,residence_p99_ms,residence_p999_ms,residence_max_ms,drain_p50_ms,drain_p99_ms,drain_p999_ms,drain_max_ms,e2e_p50_ms,e2e_p99_ms,e2e_p999_ms,e2e_max_ms,arrival_requested,arrival_achieved,feed_lag_p99_ms,backlog_p99,backlog_max,injected_failures
tail,50,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,distinct,5250,24,500,20000,10,24,1,391.4,16,9,3.81,13,670,932,1075,7920,12542,12922,13396,15,672,933,1076,563.0,563.1,1,72,76,0
tail,50,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,distinct,5250,24,500,20000,10,24,2,398.7,16,9,3.99,13,584,1320,1397,7900,12479,12846,13146,15,585,1321,1399,563.0,563.1,1,78,82,0
tail,70,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,distinct,5250,24,500,20000,10,24,1,485.5,20,12,3.68,15,667,985,1069,6579,10014,10725,10790,16,668,987,1072,788.0,788.1,1,118,125,0
tail,70,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,distinct,5250,24,500,20000,10,24,2,483.8,19,12,4.52,15,856,1159,1244,6603,10062,10335,10833,16,858,1161,1245,788.0,788.0,1,130,134,0
tail,90,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,distinct,5250,24,500,20000,10,24,1,539.2,22,15,4.82,22,990,1322,1383,5943,8797,9648,9714,23,992,1323,1384,1013.0,1013.1,1,226,226,0
tail,90,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,distinct,5250,24,500,20000,10,24,2,541.0,22,15,4.30,22,886,1316,1356,5920,8755,9620,9684,23,887,1317,1358,1013.0,1012.9,1,226,227,0
flat,50,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,1,145.3,5,2,4.65,14,28,38,42,19435,35316,35610,35650,17,33,42,47,162.0,162.0,3,4,5,0
flat,50,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,2,145.4,7,2,4.42,14,28,36,44,19411,35296,35589,35625,17,33,52,73,162.0,162.0,3,4,11,0
flat,70,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,1,195.5,6,3,4.49,14,41,57,62,14788,26118,26331,26371,17,44,60,65,227.0,227.0,3,6,7,0
flat,70,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,2,195.6,6,3,3.82,14,38,58,67,14777,26110,26324,26366,17,41,59,70,227.0,227.0,3,6,7,0
flat,90,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,1,241.2,7,3,4.89,14,66,95,117,12246,21085,21249,21305,16,68,97,121,291.0,291.1,2,10,11,0
flat,90,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,2,241.4,7,4,5.08,14,71,97,111,12235,21076,21239,21294,16,73,99,114,291.0,291.1,2,10,13,0
tail,50,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,1,144.4,9,3,4.53,14,633,842,881,19428,35437,36267,36336,18,638,845,885,162.0,162.0,3,33,39,0
tail,50,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,2,145.4,9,3,3.81,14,511,758,876,19411,35293,35590,36087,17,516,767,879,162.0,162.0,3,25,29,0
tail,70,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,1,192.3,9,4,4.29,14,902,1037,1120,14792,26275,27229,27293,17,906,1040,1123,227.0,227.0,3,56,57,0
tail,70,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,2,192.3,9,4,4.39,14,833,982,1050,14761,26252,27214,27280,17,836,984,1053,227.0,227.0,3,64,70,0
tail,90,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,1,224.6,10,5,4.74,14,1665,2091,2117,12225,22178,23285,23349,17,1666,2093,2120,291.0,291.0,2,141,144,0
tail,90,LOCAL,2266159329,NATIVE,streams,timer,PARTITION,zipf,5250,24,500,20000,10,24,2,230.7,11,5,4.94,14,1780,1964,2030,12294,21546,22660,22727,17,1782,1965,2031,291.0,291.0,2,123,129,0
